month,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind,total_gen,renewable_gen,renewable_pct
2023-01,20531.289346999998,3923906.626177,1192342.906806,10894479.172414,17246.504931,3788041.471638,56986.128565,1544600.019836,-70415.393015,10896936.779835999,77008625.99379972,12479314.59395,0.16205086680750233
2023-02,32588.941026,3576867.77313,1277459.474529,10294786.710372,24264.056213,3428053.83965,56228.697465000005,1473556.4834,-69092.024434,10174729.413951,72244026.01189218,11705138.89459,0.16202223963353318
2023-03,10117.304614,3617654.047429,1881299.0268930001,9736431.535235,61030.589518,3295829.857753,67735.042943,2093916.841421,-83182.649782,11069938.648238,76736544.2891554,13235003.383791,0.17247327862353848
2023-04,11497.661572,3930753.6429769997,1598221.218505,9600177.279035,53614.121903,2715077.241415,64010.127012,2602972.332157,-78393.976414,10214872.089659,74308560.10039836,12882956.205291,0.17337109194263522
2023-05,22572.281726,5219682.615962,2939096.509884,14804704.503658,14344.160814,2911321.470197,65006.006201,3072015.283222,-81612.974412,7434388.829606,83346358.21872358,10543320.555368,0.1265000748766905
2023-06,47748.437174,6196491.025231,4620515.800636,16521000.781355001,19932.52758,3422739.306749,64000.697265,3544203.48845,-79931.725917,8184672.752664,96879303.66553813,11796557.205868,0.12176550366829553
2023-07,64949.614149,6761983.658988,5141502.104085,18640995.593583,34909.917625,3664660.126036,64757.177459,3966768.130577,-82502.222339,8963012.592252,107471713.91536172,13029640.254602998,0.12123785673376683
2023-08,62195.314151,6957660.323822,7194647.6393,20195842.28183,45887.714431,3664061.568167,83301.191874,3946585.725621,-101671.213481,7898692.546139,111847767.72336994,11953361.300342001,0.1068717019896716
2023-09,58037.594094,6274962.224904,4534681.289747,17814217.903454,31528.869591,3563777.797327,77313.841724,3302874.128239,-95021.145424,7218171.29198,96171699.72320023,10610611.883904,0.1103298778584894
2023-10,21950.697656,5308272.9751740005,2419077.363085,12949535.863971,21743.815366,3239834.392062,83079.362663,2630356.739032,-97339.284408,8773567.407651,82147777.64804472,11447618.659705,0.13935396656439525
2023-11,14690.513998,5109960.604302,2553290.353663,10617857.686803,13115.928155,3262132.492006,73419.64003,1946137.151744,-92939.27804800001,7823676.022638,72440302.15992671,9797619.616535,0.13525094904911855
2023-12,11236.179773,4855801.379769,1065488.403764,11937740.085847,7865.016037,3790675.499367,83549.97066600001,2277730.886835,-105091.65053299999,9342009.954418,78172853.83881043,11638842.037062999,0.1488859810729421
2024-01,43662.823019,6134127.057497,2609104.108267,15199244.806638,17317.97553,3452103.686311,103006.445863,2263170.1418,-124648.009664,8549625.563435,87367205.98548216,10873776.503783999,0.12446061861690871
2024-02,12376.15509,3168470.553084,863574.178347,9478638.348132,44332.114265,3504777.8136010002,118745.375465,2678716.9362500003,-138501.437201,10943545.917819,75028323.47906493,13678971.123424001,0.18231743012678178
2024-03,6170.581801,2917088.952521,2426796.109537,10249195.193967,29631.982365,3067326.782471,126590.438848,3303282.72996,-157825.884908,10215030.270903,77920690.30111285,13554115.565029,0.1739475807086815
2024-04,7580.406667,3488469.764592,2589895.56763,9630689.57117,27107.532971,2673363.170059,139997.596531,3509228.510895,-172348.368379,11623811.147691,82203317.8504056,15167727.598224,0.18451478595823076
2024-05,33390.194644,4292259.712717,3981376.946184,14491935.950015001,89587.581524,2907580.326758,152076.742488,4130343.055228,-185378.068555,10104252.495919,94352423.56012145,14357573.327315,0.15216962941250092
2024-06,53038.504455,4873524.505078,4431459.088559,16343117.357822,93842.625857,3516970.529955,159812.981187,5029654.248554,-193127.054979,10022390.091306,103860291.5686134,15198925.470172,0.14634010015397567
2024-07,29569.018965,6000458.587687,4121076.0055029998,17750301.395928,34811.056704,3417260.373783,178856.590373,5176718.899024,-219495.344542,8123252.8278439995,102589970.9246381,13364351.802537,0.13026957393675803
2024-08,35825.257007,6402666.211645,6164305.618198,19669088.856204,29170.11617,3613782.287314,234841.945223,5827014.928871,-268743.940637,7545873.54978,111945533.78420727,13437883.851828001,0.12003948167982877
2024-09,8653.066206,6012208.628609,3673805.390937,16881187.028499,20543.530740000002,3568046.728086,210814.98606,4885846.394305,-259537.225551,5969514.858569,92826724.88840437,10884557.84982,0.1172567260442005
2024-10,19130.813342999998,5104944.455864,3533105.252251,13780546.987174,17469.628121,2521372.873194,278247.431964,4873743.03809,-337767.355191,9478684.205495,92927982.7120766,14389027.685049001,0.15484063319905741
2024-11,10368.499898,4480166.939483,3206478.596149,9921872.657903,29020.299538,2703249.493008,294542.583708,3518865.9050950003,-349964.661186,9910562.34769,80919142.77416298,13468817.052221,0.1664478464608935
2024-12,31176.119019,5442504.419461,2220509.556498,11172242.48708,27750.528948,3786718.144708,333040.325945,3025619.010438,-406558.76090500003,9257793.826672,82123931.15454699,12342339.485077001,0.1502891947762493
2025-01,35961.499284,6520660.707874,2816816.20427,14469519.685027,39554.4182,3798721.029717,366662.798123,3339764.072373,-437746.121315,9560017.642352,93995161.82431817,12975297.632209,0.13804218621869604
2025-02,18601.460885,4784808.161255,2284628.884181,11576404.721199,28055.176541,3418937.50674,351806.412971,3689372.301517,-423387.735091,8973178.523051,82114018.65472619,12709207.461994,0.15477512451843084
2025-03,7336.6838960000005,4224478.342187,1873925.8788100001,7677525.097859,23225.950051,3767491.212533,422256.078986,5181112.575993,-503681.939925,12049336.015146,86707023.5132639,17261011.225086,0.1990728147004783
2025-04,9921.294156,4171661.0497149997,2499057.005488,9008815.57485,53760.396921,3305878.818955,403067.309815,5309451.967422,-480794.81695,12205203.413384,90550381.58117779,17578337.071883,0.19412769736507562
2025-05,13667.038048,4695607.296435,3072209.139784,14301985.884896,112019.78307,3301988.50771,380888.799508,6550523.338898,-467695.948192,9274933.584435,98423398.9804595,15951143.744451,0.1620665808098932
2025-06,27176.661018,5516155.514845,3255409.845431,15159554.915461,113447.284934,3600036.810876,378528.044023,6972272.03679,-468822.254507,10604268.750128,108033220.343205,17717164.732869998,0.1639973767012154
2025-07,34597.073738,6066200.756733,4252549.197946,17326093.249442,83329.130231,3702899.685662,441688.954065,7249768.08059,-535553.096853,9189346.048668,112178878.8399735,16557040.333227001,0.14759498850800704
2025-08,53153.276393,6291156.67676,5369712.466827,19506932.828571,32592.358744999998,3688409.436088,536793.896905,7423407.392732,-655037.745776,7108859.130639,113329971.8904521,14618012.158509001,0.12898628592830833
2025-09,48468.027338,6018910.717612,3602590.735323,17235806.793938998,22587.716974,3385286.728978,534533.17293,6964545.701213,-643729.995544,6754909.7336369995,101638330.15792564,13790511.179162,0.13568218956110656
2025-10,36224.712617,5557963.851802,3776820.154288,13669740.264342,11975.953459,2838036.683624,558515.014031,6179521.095815,-679048.079655,9000323.597267,97128192.22620657,15228045.359158,0.15678295879009738
2025-11,22295.870041,4519605.120578,3049382.356016,9907692.280469,11819.869822,3311239.206999,540447.763511,4876017.640915,-642524.656326,9888312.256115,85767021.47021522,14798445.636893,0.172542375649971
2025-12,54460.902205,4664148.917859,2941545.438664,11918619.165655,17693.89327,3793172.724549,80199.124607,4064136.379317,-733657.557441,10312785.055572,88675284.70820345,14449076.230363999,0.16294366889162407
